developer,id,release_date,title,Action,Adventure,Casual,Education,Indie,RPG,Racing,Simulation,Sports,Strategy,year
Kotoshiro,761140,2018-01-04,Lost Summoner Kitty,1,0,1,0,1,0,0,1,0,1,2018
Secret Level SRL,643980,2018-01-04,Ironbound,0,0,0,0,1,1,0,0,0,1,2018
Poolians.com,670290,2017-07-24,Real Pool 3D - Poolians,0,0,1,0,1,0,0,1,1,0,2017
彼岸领域,767400,2017-12-07,弹炸人2222,1,1,1,0,0,0,0,0,0,0,2017
Trickjump Games Ltd,772540,2018-01-04,Battle Royale Trainer,1,1,0,0,0,0,0,1,0,0,2018
Poppermost Productions,774276,2018-01-04,SNOW - All Access Basic Pass,0,0,0,0,1,0,0,1,1,0,2018
Poppermost Productions,774277,2018-01-04,SNOW - All Access Pro Pass,0,0,0,0,1,0,0,1,1,0,2018
Poppermost Productions,774278,2018-01-04,SNOW - All Access Legend Pass,0,0,0,0,1,0,0,1,1,0,2018
RewindApp,768800,2018-01-04,Race,0,0,1,0,1,0,1,1,0,0,2018
Stegalosaurus Game Development,770380,2018-01-04,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,1,1,1,0,1,1,0,0,0,0,2018
Copperpick Studio,768880,2018-01-04,Beach Rules,0,0,1,0,1,0,0,0,0,0,2018
Ghulam Jewel,765320,2018-01-03,Planetarium 2 - Zen Odyssey,0,0,1,0,1,0,0,1,0,0,2018
Apillo,773650,2018-01-03,The first thrust of God,0,1,1,0,1,0,0,1,0,1,2018
Poppermost Productions,774271,2018-01-03,SNOW - Starter Pack,0,0,0,0,1,0,0,1,1,0,2018
Apillo,773690,2018-01-03,The first thrust of God - All Aircrafts,0,1,1,0,1,0,0,1,0,1,2018
Poppermost Productions,774279,2018-01-03,SNOW - Lifetime Pack,0,0,0,0,1,0,0,1,1,0,2018
Tero Lunkka,768060,2018-01-03,The Warrior Of Treasures,1,1,0,0,1,0,0,0,0,0,2018
FrozenPepper,775880,2017-12-22,RC Plane 3 - Canyon Scenario,0,0,0,0,0,0,1,1,1,0,2017
FrozenPepper,775881,2017-12-23,RC Plane 3 - F-53B,0,0,0,0,0,0,1,1,1,0,2017
Casey Labrack,653960,2018-01-03,DinoBlaster,1,0,0,0,1,0,0,0,0,0,2018
Stainless Games Ltd,282010,1997-06-30,Carmageddon Max Pack,1,0,0,0,1,0,1,0,0,0,1997
Valve,70,1998-11-08,Half-Life,1,0,0,0,0,0,0,0,0,0,1998
dev4play,752360,2016-11-25,Fallen Mage,1,0,0,0,1,1,0,0,0,0,2016
BlueLine Games,520680,2018-01-01,Lost Cities,0,0,1,0,1,0,0,0,0,1,2018
Games by Brundle,690410,2018-01-01,Twisted Enhanced Edition,1,0,0,0,0,0,0,0,0,0,2018
ETGgames,766850,2018-01-01,Vaporwave Simulator,0,0,1,0,1,0,0,1,0,0,2018
ProjectorGames,413120,2018-01-01,Tactics Forever,1,0,1,0,1,0,0,1,1,1,2018
Unknown Indie Devs,773120,2017-12-30,Christmas Santa Troubles,0,1,1,0,1,0,0,0,0,0,2017
The Commander,754360,2018-01-01,Underdone - Soundtrack,1,1,0,0,0,1,0,0,0,0,2018
"lalalaZero,Urbanoff",716110,2018-01-01,Bitcoin Clicker,0,1,1,0,1,1,0,0,0,0,2018
Strategy First,1640,2006-07-06,Disciples II: Gallean's Return,0,0,0,0,0,0,0,0,0,1,2006
Strategy First,1630,2006-07-06,Disciples II: Rise of the Elves,0,0,0,0,0,0,0,0,0,1,2006
Outerlight Ltd.,2400,2006-07-11,The Ship: Murder Party,1,0,0,0,1,1,0,0,0,0,2006
Ultraint,759920,2017-12-29,Souland,1,0,0,0,1,0,0,0,0,1,2017
Seth Albertus,659780,2018-03-30,Darkness and a Crowd,1,1,0,0,1,1,0,0,0,1,2018
TPM.CO SOFT WORKS,603280,2017-12-29,TAROTICA VOO DOO,1,1,0,0,1,1,0,0,0,0,2017
Wonderbox Games,753110,2017-12-29,Chronicles of Vinland,0,0,1,0,0,0,0,0,0,1,2017
Wonderbox Games,753100,2017-12-29,Orbitality,1,0,0,0,1,0,0,0,0,0,2017
Mad Unicorn Games,764280,2017-12-30,Atomic Adam: Episode 1,1,1,1,0,0,0,0,0,0,0,2017
Emanon Studios,758550,2017-12-29,Mirt. Tales of the Cold Land. Chapter 2,0,1,1,0,1,0,0,0,0,0,2017
GlyphX Games,3800,2005-08-09,Advent Rising,1,0,0,0,0,0,0,0,0,0,2005
Introversion Software,1520,2006-09-29,DEFCON,0,0,0,0,1,0,0,0,0,1,2006
Outerlight Ltd.,2420,2006-11-20,The Ship: Single Player,1,0,0,0,1,1,0,0,0,0,2006
Facepunch Studios,4000,2006-11-29,Garry's Mod,0,0,0,0,1,0,0,1,0,0,2006
SimBin,4230,2006-11-24,RACE - The WTCC Game,0,0,0,0,0,0,1,0,0,0,2006
Unknown Worlds Entertainment,4900,2006-12-14,Zen of Sudoku,0,0,1,0,1,0,0,0,0,0,2006
"CINEMAX, s.r.o.",2520,2006-12-19,Gumboy - Crazy Adventures™,0,0,1,0,1,0,0,0,0,0,2006
Sick Puppies,6200,2003-08-23,Ghost Master®,0,0,0,0,0,0,0,0,0,1,2003
Deepred,6210,2006-12-21,Vegas: Make It Big™,0,0,0,0,0,0,0,0,0,1,2006
Funcom,6300,2006-04-17,Dreamfall: The Longest Journey,0,1,0,0,0,1,0,0,0,0,2006
Bugbear Entertainment,2990,2006-08-01,FlatOut 2™,0,0,0,0,0,0,1,0,0,0,2006
Bugbear Entertainment,6220,2005-07-12,FlatOut,0,0,0,0,0,0,1,0,0,0,2005
"CAPCOM Co., Ltd.",6510,2007-06-26,Lost Planet™: Extreme Condition,1,1,0,0,0,0,0,0,0,0,2007
"FireFly Studios,Firaxis Games",3980,2006-07-24,CivCity: Rome,0,0,0,0,0,0,0,0,0,1,2006
Arkane Studios,1700,2002-11-12,Arx Fatalis,0,0,0,0,0,1,0,0,0,0,2002
Funcom,6310,2000-11-17,The Longest Journey,1,1,0,0,0,1,0,0,0,0,2000
Firaxis Games,3990,2006-07-24,Civilization IV®: Warlords,0,0,0,0,0,0,0,0,0,1,2006
PopTop,7610,2003-10-23,Railroad Tycoon 3,0,0,0,0,0,0,0,0,0,1,2003
"Firaxis Games,Feral Interactive (Mac)",7600,2006-10-16,Sid Meier's Railroads!,0,0,0,0,0,0,0,0,0,1,2006
PopTop,7620,1998-10-31,Railroad Tycoon II Platinum,0,0,0,0,0,0,0,0,0,1,1998
Elephant Games,2540,2007-06-01,RIP - Trilogy™,0,0,1,0,1,0,0,0,0,0,2007
"MicroProse Software, Inc",7650,1995-04-01,X-COM: Terror From the Deep,0,0,0,0,0,0,0,0,0,1,1995
"Crystal Dynamics,Feral Interactive (Mac)",8000,2007-06-05,Tomb Raider: Anniversary,1,1,0,0,0,0,0,0,0,0,2007
"CAPCOM Co., Ltd.",6550,2006-05-23,Devil May Cry® 3 Special Edition,1,0,0,0,0,0,0,0,0,0,2006
Telltale Games,8200,2006-10-17,Sam &amp; Max 101: Culture Shock,1,1,0,0,0,0,0,0,0,0,2006
id Software,2290,1996-06-17,Final DOOM,1,0,0,0,0,0,0,0,0,0,1996
Freegamer,2570,2007-06-29,Vigil: Blood Bitterness™,0,0,0,0,1,1,0,0,0,0,2007
Telltale Games,8210,2006-12-20,Sam &amp; Max 102: Situation: Comedy,1,1,0,0,0,0,0,0,0,0,2006
id Software,2280,1995-04-30,Ultimate Doom,1,0,0,0,0,0,0,0,0,0,1995
id Software,9160,1995-06-01,Master Levels for Doom II,1,0,0,0,0,0,0,0,0,0,1995
id Software,2300,1994-05-05,DOOM II,1,0,0,0,0,0,0,0,0,0,1994
id Software,2270,1994-08-03,Wolfenstein 3D,1,0,0,0,0,0,0,0,0,0,1994
Gray Matter Studios,9010,2001-11-20,Return to Castle Wolfenstein,1,0,0,0,0,0,0,0,0,0,2001
Ritual Entertainment,9040,1997-02-28,QUAKE Mission Pack 1: Scourge of Armagon,1,0,0,0,0,0,0,0,0,0,1997
id Software,9000,1993-10-10,Spear of Destiny,1,0,0,0,0,0,0,0,0,0,1993
Terminal Reality,3810,2003-09-09,BloodRayne,1,0,0,0,0,0,0,0,0,0,2003
Rogue Entertainment,9030,2007-08-03,QUAKE Mission Pack 2: Dissolution of Eternity,1,0,0,0,0,0,0,0,0,0,2007
id Software,2310,2007-05-31,QUAKE,1,0,0,0,0,0,0,0,0,0,2007
Metamorf,3230,2007-03-20,Genesis Rising,0,0,0,0,0,0,0,0,0,1,2007
Relic Entertainment,9310,2006-01-01,"Warhammer® 40,000: Dawn of War® – Winter Assault",0,0,0,0,0,0,0,0,0,1,2006
"2K Boston,2K Australia",7670,2007-08-21,BioShock™,1,0,0,0,0,1,0,0,0,0,2007
Relic Entertainment,4570,2006-01-01,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",0,0,0,0,0,0,0,0,0,1,2006
Relic Entertainment,4580,2006-10-09,"Warhammer® 40,000: Dawn of War® - Dark Crusade",0,0,0,0,0,0,0,0,0,1,2006
The Creative Assembly,4760,2004-09-22,Rome: Total War™ - Collection,0,0,0,0,0,0,0,0,0,1,2004
The Creative Assembly,4770,2006-06-26,Rome: Total War™ - Alexander,0,0,0,0,0,0,0,0,0,1,2006
Big Fish Games,50970,2007-12-14,Mystery Case Files: Madame Fate®,0,0,1,0,0,0,0,0,0,0,2007
Rockstar North,12170,1998-06-30,Grand Theft Auto,1,0,0,0,0,0,0,0,0,0,1998
Rockstar North,12180,1999-10-25,Grand Theft Auto 2,1,0,0,0,0,0,0,0,0,0,1999
Rockstar North,12130,2004-04-20,Manhunt,1,0,0,0,0,0,0,0,0,0,2004
Rockstar San Diego,12160,2003-07-01,Midnight Club 2,0,0,0,0,0,0,1,0,0,0,2003
Remedy Entertainment,12150,2003-10-14,Max Payne 2: The Fall of Max Payne,1,0,0,0,0,0,0,0,0,0,2003
Crystal Dynamics,7000,2006-04-07,Tomb Raider: Legend,1,1,0,0,0,0,0,0,0,0,2006
Remedy Entertainment,12140,2001-07-25,Max Payne,1,0,0,0,0,0,0,0,0,0,2001
EA Los Angeles,17480,2008-10-28,Command &amp; Conquer: Red Alert 3,0,0,0,0,0,0,0,0,0,1,2008
Infinite Interactive,12500,2007-10-10,PuzzleQuest: Challenge of the Warlords,0,0,1,0,0,0,0,0,0,0,2007
Momentum Digital Media Technologies,12310,2007-10-23,Culpa Innata,0,1,1,0,0,1,0,0,0,0,2007
"Gamebryo,Virtual Playground",12510,2007-08-01,Prison Tycoon 3™: Lockdown,0,0,0,0,0,0,0,0,0,1,2007
SCS Software,12530,2007-09-01,Hunting Unlimited™ 2008,1,1,0,0,0,0,0,0,0,1,2007
SCS Software,12520,2007-12-03,18 Wheels of Steel: American Long Haul,0,0,0,0,0,0,1,0,0,0,2007
Pivotal Games,8100,2008-02-08,Conflict: Denied Ops,1,0,0,0,0,0,0,0,0,0,2008
Bohemia Interactive,2780,2007-05-08,ARMA: Combat Operations,1,0,0,0,0,0,0,0,0,0,2007
Spellbound,9710,2006-05-02,Desperados 2: Cooper's Revenge,1,0,0,0,0,0,0,0,0,0,2006
Haggard Games,9800,2007-10-16,Death to Spies,1,1,0,0,0,0,0,0,0,0,2007
