user_id,posted,item_id,recommend,sentiment,year
76561197970982479,2011-11-05,1250,True,buena,2011
76561197970982479,2011-07-15,22200,True,buena,2011
76561197970982479,2011-04-21,43110,True,neutral,2011
js41637,2014-06-24,251610,True,buena,2014
js41637,2013-09-08,227300,True,neutral,2013
js41637,2013-11-29,239030,True,mala,2013
evcentric,2015-12-04,370360,True,buena,2015
evcentric,2014-11-03,237930,True,buena,2014
evcentric,2014-10-15,263360,True,mala,2014
evcentric,2014-10-15,107200,True,buena,2014
evcentric,2014-10-15,224500,True,neutral,2014
doctr,2013-10-14,250320,True,buena,2013
doctr,2012-07-28,20920,True,buena,2012
doctr,2012-06-02,204100,True,buena,2012
doctr,2014-06-29,224600,True,buena,2014
doctr,2012-11-22,207610,True,mala,2012
doctr,2012-02-23,108710,True,buena,2012
maplemage,2014-04-15,211420,True,neutral,2014
maplemage,2013-12-23,211820,True,neutral,2013
maplemage,2014-03-14,730,True,buena,2014
maplemage,2013-07-11,204300,True,buena,2013
Wackky,2014-05-05,249130,True,mala,2014
Wackky,2012-12-24,207610,True,mala,2012
Wackky,2012-10-21,550,True,neutral,2012
Wackky,2012-03-20,65800,True,mala,2012
Wackky,2012-03-09,220,True,buena,2012
76561198089393905,2015-02-01,72850,True,mala,2015
76561198089393905,2014-06-20,440,True,neutral,2014
76561198077246154,2014-08-25,304930,True,neutral,2014
WeiEDKrSat,2013-12-25,4000,True,neutral,2013
thequeenpanda,2012-06-23,42910,True,neutral,2012
death-hunter,2015-09-05,232090,True,neutral,2015
death-hunter,2015-03-30,1250,True,buena,2015
death-hunter,2014-02-19,4000,True,buena,2014
DJKamBer,2014-07-14,304930,True,mala,2014
DJKamBer,2013-04-27,570,True,buena,2013
DJKamBer,2015-07-20,218620,True,buena,2015
DJKamBer,2013-11-04,224260,True,neutral,2013
DJKamBer,2013-07-12,1250,True,neutral,2013
DJKamBer,2012-08-19,440,True,neutral,2012
Rainbow-Dashie,2015-06-19,730,True,buena,2015
Rainbow-Dashie,2014-09-20,440,True,buena,2014
Rainbow-Dashie,2014-09-07,49520,True,mala,2014
76561198043472122,2014-12-19,33440,False,mala,2014
MarbleShrine,2015-02-17,220200,True,buena,2015
PPanther,2014-06-07,211820,True,neutral,2014
devvonst,2014-02-12,440,True,buena,2014
devvonst,2014-02-09,218740,True,neutral,2014
devvonst,2015-10-31,550,True,buena,2015
starkillershadow553,2015-02-04,238090,True,buena,2015
starkillershadow553,2014-04-05,277430,True,neutral,2014
76561198058373434,2015-01-08,8870,True,neutral,2015
76561198048353577,2015-10-26,368230,True,mala,2015
76561198048353577,2013-03-20,33930,True,neutral,2013
76561198066046412,2015-12-28,359320,False,mala,2015
76561198066046412,2015-05-19,219640,True,buena,2015
tru_mu_,2015-12-15,287980,True,neutral,2015
76561198070565427,2015-08-21,208090,True,neutral,2015
76561198070565427,2014-10-17,242700,True,neutral,2014
76561198070565427,2014-06-27,570,False,neutral,2014
76561198070565427,2014-04-28,224260,True,neutral,2014
SavageEeEe,2015-11-12,221100,True,buena,2015
76561198076909484,2014-06-18,570,True,mala,2014
KanadeTheNeko,2014-11-20,331470,True,buena,2014
KanadeTheNeko,2014-05-29,4000,True,neutral,2014
GoAwayZach,2014-12-29,304930,True,buena,2014
76561198054540475,2015-02-13,12210,True,buena,2015
76561198054540475,2014-12-26,265210,True,neutral,2014
76561198054540475,2014-02-04,48700,True,neutral,2014
76561198061252210,2015-05-21,730,True,buena,2015
OfficialShroomsy,2013-12-06,113200,True,neutral,2013
boydeer,2014-05-12,440,True,neutral,2014
boydeer,2015-08-24,383080,False,neutral,2015
VVillis,2015-01-06,213670,True,neutral,2015
76561198083226897,2015-12-22,105600,True,mala,2015
76561198075277292,2015-06-23,730,True,neutral,2015
